KEY,Schaefer400,A424,HCP-MMP
1,LH_Vis_1,343,L_VVC
2,LH_Vis_2,307,L_PHA3
3,LH_Vis_3,343,L_VVC
4,LH_Vis_4,333,L_VMV1
5,LH_Vis_5,186,L_V4
6,LH_Vis_6,186,L_V4
7,LH_Vis_7,306,L_PHA1
8,LH_Vis_8,318,L_PH
9,LH_Vis_9,184,L_V2
10,LH_Vis_10,184,L_V2
11,LH_Vis_11,184,L_V2
12,LH_Vis_12,181,L_V1
13,LH_Vis_13,299,L_PreS
14,LH_Vis_14,186,L_V4
15,LH_Vis_15,181,L_V1
16,LH_Vis_16,301,L_ProS
17,LH_Vis_17,182,L_MST
18,LH_Vis_18,181,L_V1
19,LH_Vis_19,185,L_V3
20,LH_Vis_20,211,L_POS1
21,LH_Vis_21,181,L_V1
22,LH_Vis_22,181,L_V1
23,LH_Vis_23,338,L_V3CD
24,LH_Vis_24,184,L_V2
25,LH_Vis_25,184,L_V2
26,LH_Vis_26,184,L_V2
27,LH_Vis_27,199,L_V3B
28,LH_Vis_28,326,L_IP0
29,LH_Vis_29,193,L_V3A
30,LH_Vis_30,183,L_V6
31,LH_Vis_31,197,L_IPS1
32,LH_SomMot_1,353,L_MBelt
33,LH_SomMot_2,304,L_PBelt
34,LH_SomMot_3,283,L_52
35,LH_SomMot_4,295,L_FOP2
36,LH_SomMot_5,284,L_RI
37,LH_SomMot_6,355,L_A4
38,LH_SomMot_7,284,L_RI
39,LH_SomMot_8,280,L_OP4
40,LH_SomMot_9,279,L_43
41,LH_SomMot_10,281,L_OP1
42,LH_SomMot_11,280,L_OP4
43,LH_SomMot_12,188,L_4
44,LH_SomMot_13,231,L_1
45,LH_SomMot_14,189,L_3b
46,LH_SomMot_15,232,L_2
47,LH_SomMot_16,188,L_4
48,LH_SomMot_17,189,L_3b
49,LH_SomMot_18,220,L_24dd
50,LH_SomMot_19,188,L_4
51,LH_SomMot_20,189,L_3b
52,LH_SomMot_21,231,L_1
53,LH_SomMot_22,189,L_3b
54,LH_SomMot_23,217,L_5mv
55,LH_SomMot_24,188,L_4
56,LH_SomMot_25,223,L_SCEF
57,LH_SomMot_26,188,L_4
58,LH_SomMot_27,232,L_2
59,LH_SomMot_28,189,L_3b
60,LH_SomMot_29,232,L_2
61,LH_SomMot_30,276,L_6a
62,LH_SomMot_31,188,L_4
63,LH_SomMot_32,219,L_5L
64,LH_SomMot_33,188,L_4
65,LH_SomMot_34,235,L_6mp
66,LH_SomMot_35,189,L_3b
67,LH_SomMot_36,232,L_2
68,LH_SomMot_37,188,L_4
69,LH_DorsAttn_Post_1,316,L_TE2p
70,LH_DorsAttn_Post_2,318,L_PH
71,LH_DorsAttn_Post_3,317,L_PHT
72,LH_DorsAttn_Post_4,320,L_TPOJ2
73,LH_DorsAttn_Post_5,197,L_IPS1
74,LH_DorsAttn_Post_6,296,L_PFt
75,LH_DorsAttn_Post_7,230,L_MIP
76,LH_DorsAttn_Post_8,232,L_2
77,LH_DorsAttn_Post_9,297,L_AIP
78,LH_DorsAttn_Post_10,275,L_LIPd
79,LH_DorsAttn_Post_11,297,L_AIP
80,LH_DorsAttn_Post_12,297,L_AIP
81,LH_DorsAttn_Post_13,226,L_7PL
82,LH_DorsAttn_Post_14,228,L_LIPv
83,LH_DorsAttn_Post_15,225,L_7Am
84,LH_DorsAttn_Post_16,222,L_7AL
85,LH_DorsAttn_Post_17,219,L_5L
86,LH_DorsAttn_FEF_1,190,L_FEF
87,LH_DorsAttn_FEF_2,276,L_6a
88,LH_DorsAttn_FEF_3,276,L_6a
89,LH_DorsAttn_FEF_4,276,L_6a
90,LH_DorsAttn_PrCv_1,258,L_6r
91,LH_DorsAttn_PrCv_2,191,L_PEF
92,LH_SalVentAttn_ParOper_1,285,L_PFcm
93,LH_SalVentAttn_ParOper_2,205,L_PSL
94,LH_SalVentAttn_ParOper_3,327,L_PFop
95,LH_SalVentAttn_ParOper_4,328,L_PF
96,LH_SalVentAttn_TempOcc_1,319,L_TPOJ1
