ID	Label	R	G	B	A
1	R_V1	50	50	50	0
2	R_MST	180	20	30	0
3	R_V6	60	25	25	0
4	R_V2	25	60	60	0
5	R_V3	180	20	20	0
6	R_V4	220	20	100	0
7	R_V8	140	60	60	0
8	R_4	180	220	140	0
9	R_3b	140	100	180	0
10	R_FEF	180	20	140	0
11	R_PEF	140	20	140	0
12	R_55b	21	10	10	0
13	R_V3A	225	140	140	0
14	R_RSC	23	60	180	0
15	R_POS2	180	60	180	0
16	R_V7	20	220	60	0
17	R_IPS1	60	20	140	0
18	R_FFC	220	180	140	0
19	R_V3B	65	100	20	0
20	R_LO1	220	60	20	0
21	R_LO2	60	100	60	0
22	R_PIT	20	60	220	0
23	R_MT	100	100	60	0
24	R_A1	220	180	220	0
25	R_PSL	20	180	140	0
26	R_SFL	60	140	180	0
27	R_PCV	25	20	140	0
28	R_STV	20	60	100	0
29	R_7Pm	60	220	20	0
30	R_7m	60	20	220	0
31	R_POS1	220	220	100	0
32	R_23d	180	60	60	0
33	R_v23ab	60	60	220	0
34	R_d23ab	220	60	220	0
35	R_31pv	65	220	60	0
36	R_5m	25	140	20	0
37	R_5mv	13	0	250	0
38	R_23c	61	20	220	0
39	R_5L	61	20	60	0
40	R_24dd	61	60	100	0
41	R_24dv	25	25	25	0
42	R_7AL	140	20	60	0
43	R_SCEF	220	180	20	0
44	R_6ma	63	180	180	0
45	R_7Am	221	20	10	0
46	R_7PL	21	220	20	0
47	R_7PC	183	100	20	0
48	R_LIPv	221	20	100	0
49	R_VIP	221	60	140	0
50	R_MIP	221	20	220	0
51	R_1	61	220	220	0
52	R_2	100	200	200	0
53	R_3a	10	200	200	0
54	R_6d	221	220	20	0
55	R_6mp	141	20	100	0
56	R_6v	61	220	100	0
57	R_p24pr	21	220	60	0
58	R_33pr	141	60	20	0
59	R_a24pr	143	20	220	0
60	R_p32pr	61	20	180	0
61	R_a24	101	60	220	0
62	R_d32	21	20	140	0
63	R_8BM	221	140	20	0
64	R_p32	141	100	220	0
65	R_10r	101	20	20	0
66	R_47m	221	100	20	0
67	R_8Av	181	200	20	0
68	R_8Ad	21	180	140	0
69	R_9m	101	100	180	0
70	R_8BL	181	220	20	0
71	R_9p	21	140	200	0
72	R_10d	21	20	240	0
73	R_8C	21	20	200	0
74	R_44	61	180	60	0
75	R_45	61	180	250	0
76	R_47l	21	20	60	0
77	R_a47r	101	60	60	0
78	R_6r	21	220	220	0
79	R_IFJa	21	180	180	0
80	R_IFJp	223	220	60	0
81	R_IFSp	221	60	60	0
82	R_IFSa	50	50	50	0
83	R_p9_46v	180	20	30	0
84	R_46	60	25	25	0
85	R_a9_46v	25	60	60	0
86	R_9_46d	180	20	20	0
87	R_9a	220	20	100	0
88	R_10v	140	60	60	0
89	R_a10p	180	220	140	0
90	R_10pp	140	100	180	0
91	R_11l	180	20	140	0
92	R_13l	140	20	140	0
93	R_OFC	21	10	10	0
94	R_47s	225	140	140	0
95	R_LIPd	23	60	180	0
96	R_6a	180	60	180	0
97	R_i6_8	20	220	60	0
98	R_s6_8	60	20	140	0
99	R_43	220	180	140	0
100	R_OP4	65	100	20	0
101	R_OP1	220	60	20	0
102	R_OP2_3	60	100	60	0
103	R_52	20	60	220	0
104	R_RI	100	100	60	0
105	R_PFcm	220	180	220	0
106	R_PoI2	20	180	140	0
107	R_TA2	60	140	180	0
108	R_FOP4	25	20	140	0
109	R_MI	20	60	100	0
110	R_Pir	60	220	20	0
111	R_AVI	60	20	220	0
112	R_AAIC	220	220	100	0
113	R_FOP1	180	60	60	0
114	R_FOP3	60	60	220	0
115	R_FOP2	220	60	220	0
116	R_PFt	65	220	60	0
117	R_AIP	25	140	20	0
118	R_EC	13	0	250	0
119	R_PreS	61	20	220	0
120	R_H	61	20	60	0
121	R_ProS	61	60	100	0
122	R_PeEc	25	25	25	0
123	R_STGa	140	20	60	0
124	R_PBelt	220	180	20	0
125	R_A5	63	180	180	0
126	R_PHA1	221	20	10	0
127	R_PHA3	21	220	20	0
128	R_STSda	183	100	20	0
129	R_STSdp	221	20	100	0
130	R_STSvp	221	60	140	0
131	R_TGd	221	20	220	0
132	R_TE1a	61	220	220	0
133	R_TE1p	100	200	200	0
134	R_TE2a	10	200	200	0
135	R_TF	221	220	20	0
136	R_TE2p	141	20	100	0
137	R_PHT	61	220	100	0
138	R_PH	21	220	60	0
139	R_TPOJ1	141	60	20	0
140	R_TPOJ2	143	20	220	0
141	R_TPOJ3	61	20	180	0
142	R_DVT	101	60	220	0
143	R_PGp	21	20	140	0
144	R_IP2	221	140	20	0
145	R_IP1	141	100	220	0
146	R_IP0	101	20	20	0
147	R_PFop	221	100	20	0
148	R_PF	181	200	20	0
149	R_PFm	21	180	140	0
150	R_PGi	101	100	180	0
151	R_PGs	181	220	20	0
152	R_V6A	21	140	200	0
153	R_VMV1	21	20	240	0
154	R_VMV3	21	20	200	0
155	R_PHA2	61	180	60	0
156	R_V4t	61	180	250	0
157	R_FST	21	20	60	0
158	R_V3CD	101	60	60	0
159	R_LO3	21	220	220	0
160	R_VMV2	21	180	180	0
161	R_31pd	223	220	60	0
162	R_31a	221	60	60	0
163	R_VVC	20	30	40	0
164	R_25	20	30	40	0
165	R_s32	120	19	134	0
166	R_pOFC	197	58	250	0
167	R_PoI1	198	58	250	0
168	R_Ig	120	20	134	0
169	R_FOP5	199	58	250	0
170	R_p10p	200	58	250	0
171	R_p47r	236	14	176	0
172	R_TGv	206	62	78	0
173	R_MBelt	207	62	78	0
174	R_LBelt	236	15	176	0
175	R_A4	208	62	78	0
176	R_STSva	209	62	78	0
177	R_TE1m	12	49	255	0
178	R_PI	123	186	220	0
179	R_a32pr	124	186	220	0
180	R_p24	12	50	255	0
181	L_V1	50	50	50	0
182	L_MST	180	20	30	0
183	L_V6	60	25	25	0
